%time,field.header.seq,field.header.stamp,field.header.frame_id,field.height,field.width,field.distortion_model,field.D0,field.D1,field.D2,field.D3,field.D4,field.K0,field.K1,field.K2,field.K3,field.K4,field.K5,field.K6,field.K7,field.K8,field.R0,field.R1,field.R2,field.R3,field.R4,field.R5,field.R6,field.R7,field.R8,field.P0,field.P1,field.P2,field.P3,field.P4,field.P5,field.P6,field.P7,field.P8,field.P9,field.P10,field.P11,field.binning_x,field.binning_y,field.roi.x_offset,field.roi.y_offset,field.roi.height,field.roi.width,field.roi.do_rectify
1504235168046209844,10978,1504235168006888853,/zed_current_frame,720,1280,plumb_bob,0.0,0.0,0.0,0.0,0.0,687.82635498,0.0,660.878112793,0.0,687.82635498,362.7449646,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,687.82635498,0.0,660.878112793,0.0,0.0,687.82635498,362.7449646,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
1504235168092130635,10979,1504235168073658101,/zed_current_frame,720,1280,plumb_bob,0.0,0.0,0.0,0.0,0.0,687.82635498,0.0,660.878112793,0.0,687.82635498,362.7449646,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,687.82635498,0.0,660.878112793,0.0,0.0,687.82635498,362.7449646,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
1504235168178798502,10980,1504235168140243547,/zed_current_frame,720,1280,plumb_bob,0.0,0.0,0.0,0.0,0.0,687.82635498,0.0,660.878112793,0.0,687.82635498,362.7449646,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,687.82635498,0.0,660.878112793,0.0,0.0,687.82635498,362.7449646,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
1504235168244177498,10981,1504235168207040868,/zed_current_frame,720,1280,plumb_bob,0.0,0.0,0.0,0.0,0.0,687.82635498,0.0,660.878112793,0.0,687.82635498,362.7449646,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,687.82635498,0.0,660.878112793,0.0,0.0,687.82635498,362.7449646,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
1504235168292081609,10982,1504235168273554909,/zed_current_frame,720,1280,plumb_bob,0.0,0.0,0.0,0.0,0.0,687.82635498,0.0,660.878112793,0.0,687.82635498,362.7449646,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,687.82635498,0.0,660.878112793,0.0,0.0,687.82635498,362.7449646,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
1504235168378996245,10983,1504235168340353687,/zed_current_frame,720,1280,plumb_bob,0.0,0.0,0.0,0.0,0.0,687.82635498,0.0,660.878112793,0.0,687.82635498,362.7449646,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,687.82635498,0.0,660.878112793,0.0,0.0,687.82635498,362.7449646,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
1504235168441519062,10984,1504235168406910905,/zed_current_frame,720,1280,plumb_bob,0.0,0.0,0.0,0.0,0.0,687.82635498,0.0,660.878112793,0.0,687.82635498,362.7449646,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,687.82635498,0.0,660.878112793,0.0,0.0,687.82635498,362.7449646,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
1504235168484218260,10985,1504235168473529997,/zed_current_frame,720,1280,plumb_bob,0.0,0.0,0.0,0.0,0.0,687.82635498,0.0,660.878112793,0.0,687.82635498,362.7449646,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,687.82635498,0.0,660.878112793,0.0,0.0,687.82635498,362.7449646,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
1504235168580382574,10986,1504235168543418182,/zed_current_frame,720,1280,plumb_bob,0.0,0.0,0.0,0.0,0.0,687.82635498,0.0,660.878112793,0.0,687.82635498,362.7449646,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,687.82635498,0.0,660.878112793,0.0,0.0,687.82635498,362.7449646,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
1504235168640364418,10987,1504235168606791202,/zed_current_frame,720,1280,plumb_bob,0.0,0.0,0.0,0.0,0.0,687.82635498,0.0,660.878112793,0.0,687.82635498,362.7449646,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,687.82635498,0.0,660.878112793,0.0,0.0,687.82635498,362.7449646,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
1504235168690881169,10988,1504235168673518627,/zed_current_frame,720,1280,plumb_bob,0.0,0.0,0.0,0.0,0.0,687.82635498,0.0,660.878112793,0.0,687.82635498,362.7449646,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,687.82635498,0.0,660.878112793,0.0,0.0,687.82635498,362.7449646,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
1504235168781574113,10989,1504235168740237354,/zed_current_frame,720,1280,plumb_bob,0.0,0.0,0.0,0.0,0.0,687.82635498,0.0,660.878112793,0.0,687.82635498,362.7449646,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,687.82635498,0.0,660.878112793,0.0,0.0,687.82635498,362.7449646,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
1504235168847073994,10990,1504235168807034049,/zed_current_frame,720,1280,plumb_bob,0.0,0.0,0.0,0.0,0.0,687.82635498,0.0,660.878112793,0.0,687.82635498,362.7449646,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,687.82635498,0.0,660.878112793,0.0,0.0,687.82635498,362.7449646,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
1504235168893806863,10991,1504235168873558819,/zed_current_frame,720,1280,plumb_bob,0.0,0.0,0.0,0.0,0.0,687.82635498,0.0,660.878112793,0.0,687.82635498,362.7449646,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,687.82635498,0.0,660.878112793,0.0,0.0,687.82635498,362.7449646,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
